id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude
13047819,jg230198,2023-04-19t22:54:00.000,021xx e 67th st,143a,weapons violation,unlawful possession - handgun,street,True,False,0331,003,43,15,1191579,1860965,2023,2023-04-26t16:53:52.000,41.773485437,-87.573261409
13047826,jg230266,2023-04-19t22:47:00.000,084xx s state st,1310,criminal damage,to property,residence,False,False,0632,006,44,14,1177762,1849097,2023,2023-04-26t16:53:52.000,41.741242221,-87.624269491
13047897,jg230212,2023-04-19t22:43:00.000,072xx s sangamon st,0820,theft,$500 and under,residence,False,False,0733,007,68,06,1171228,1856805,2023,2023-04-26t16:53:52.000,41.762539224,-87.647984635
13047825,jg230203,2023-04-19t22:40:00.000,025xx n narragansett ave,0850,theft,attempt theft,grocery food store,False,False,2512,025,19,06,1133317,1916205,2023,2023-04-26t16:53:52.000,41.926287021,-87.785547998
13047957,jg230192,2023-04-19t22:39:00.000,069xx s clyde ave,0326,robbery,aggravated vehicular hijacking,street,False,False,0331,003,43,03,1191408,1859417,2023,2023-04-26t16:53:52.000,41.769241752,-87.57393835
13048752,jg230353,2023-04-19t22:35:00.000,112xx s edbrooke ave,1153,deceptive practice,financial identity theft over $ 300,,False,False,0531,005,49,11,1179199,1830533,2023,2023-04-26t16:53:52.000,41.69026756,-87.619568317
13047794,jg230216,2023-04-19t22:31:00.000,017xx n keystone ave,0560,assault,simple,apartment,False,False,2534,025,20,08a,1149111,1911318,2023,2023-04-26t16:53:52.000,41.912585094,-87.727638664
13047891,jg230191,2023-04-19t22:30:00.000,013xx s lawndale ave,0430,battery,aggravated - other dangerous weapon,sidewalk,False,False,1011,010,29,04b,1151918,1893645,2023,2023-04-26t16:53:52.000,41.864033702,-87.717792133
13047996,jg230468,2023-04-19t22:30:00.000,015xx e 73rd st,0920,motor vehicle theft,attempt - automobile,street,False,False,0324,003,43,07,1187662,1856891,2023,2023-04-26t16:53:52.000,41.762400126,-87.587749478
13047818,jg230232,2023-04-19t22:30:00.000,031xx w marquette rd,1320,criminal damage,to vehicle,street,False,True,0831,008,66,14,1156689,1860033,2023,2023-04-26t16:53:52.000,41.771702863,-87.701185639
13047802,jg230244,2023-04-19t22:30:00.000,009xx s kilpatrick ave,1506,prostitution,solicit on public way,street,True,False,1131,011,25,16,1145194,1895540,2023,2023-04-26t16:53:52.000,41.869363464,-87.742428042
13047834,jg230221,2023-04-19t22:30:00.000,054xx s archer ave,0810,theft,over $500,vehicle non-commercial,False,True,0814,008,56,06,1144385,1869609,2023,2023-04-26t16:53:52.000,41.798220324,-87.746048994
13047801,jg230243,2023-04-19t22:27:00.000,047xx w polk st,1506,prostitution,solicit on public way,street,True,False,1131,011,25,16,1145014,1895946,2023,2023-04-26t16:53:52.000,41.870480977,-87.743078629
13047921,jg230352,2023-04-19t22:26:00.000,123xx s state st,0910,motor vehicle theft,automobile,street,False,False,0532,005,53,07,1178487,1823095,2023,2023-04-26t16:53:52.000,41.669872733,-87.622399656
13047781,jg230173,2023-04-19t22:21:00.000,039xx n kilpatrick ave,502p,other offense,false / stolen / altered trp,street,True,False,1731,017,15,26,1144400,1925798,2023,2023-04-26t16:53:52.000,41.952409587,-87.74458055
13048844,jg230187,2023-04-19t22:11:00.000,007xx w diversey pkwy,0486,battery,domestic battery simple,apartment,False,True,1934,019,6,08b,1170960,1918833,2023,2023-04-26t16:53:52.000,41.932755165,-87.647150367
13047777,jg230176,2023-04-19t22:10:00.000,114xx s loomis st,143a,weapons violation,unlawful possession - handgun,street,True,False,2234,022,75,15,1169055,1828675,2023,2023-04-26t16:53:52.000,41.685393553,-87.656759314
13047773,jg230170,2023-04-19t22:10:00.000,009xx e 80th st,502p,other offense,false / stolen / altered trp,street,False,False,0631,006,44,26,1184083,1852160,2023,2023-04-26t16:53:52.000,41.749502163,-87.601014459
13048456,jg231086,2023-04-19t22:02:00.000,021xx s damen ave,0820,theft,$500 and under,street,False,False,1234,012,31,06,1163371,1889626,2023,2023-04-26t16:53:52.000,41.852772149,-87.675861549
13047898,jg230205,2023-04-19t22:00:00.000,073xx s yale ave,0486,battery,domestic battery simple,residence,False,True,0731,007,69,08b,1175893,1856311,2023,2023-04-26t16:53:52.000,41.761080366,-87.630901564
13048117,jg230579,2023-04-19t22:00:00.000,073xx s cicero ave,0910,motor vehicle theft,automobile,hotel / motel,False,False,0833,008,65,07,1145666,1855429,2023,2023-04-26t16:53:52.000,41.759283913,-87.741709017
13049628,jg231326,2023-04-19t22:00:00.000,063xx w montrose ave,0810,theft,over $500,street,False,False,1622,016,15,06,1133478,1928582,2023,2023-04-26t16:53:52.000,41.96024804,-87.784665277
13048076,jg230445,2023-04-19t22:00:00.000,016xx w 119th st,0610,burglary,forcible entry,restaurant,False,False,2234,022,75,05,1167253,1825785,2023,2023-04-26t16:53:52.000,41.677501539,-87.663438288
