id,case_number,date,block,iucr,primary_type,description,location_description,arrest,domestic,beat,district,community_area,fbi_code,x_coordinate,y_coordinate,year,updated_on,latitude,longitude,crime_rating
13049434,jg230819,2023-04-19t23:00:00.000,075xx s bishop st,0810,theft,over $500,vacant lot / land,False,False,612,6,71,06,1167860.0,1854680.0,2023,2023-04-26t16:53:52.000,41.756780912,-87.660389793,4
13047784,jg230197,2023-04-19t22:57:00.000,066xx s state st,502p,other offense,false / stolen / altered trp,street,False,False,322,3,69,26,1177424.0,1860918.0,2023,2023-04-26t16:53:52.000,41.773688036,-87.625151357,4
13047819,jg230198,2023-04-19t22:54:00.000,021xx e 67th st,143a,weapons violation,unlawful possession - handgun,street,True,False,331,3,43,15,1191579.0,1860965.0,2023,2023-04-26t16:53:52.000,41.773485437,-87.573261409,5
13047826,jg230266,2023-04-19t22:47:00.000,084xx s state st,1310,criminal damage,to property,residence,False,False,632,6,44,14,1177762.0,1849097.0,2023,2023-04-26t16:53:52.000,41.741242221,-87.624269491,5
13047897,jg230212,2023-04-19t22:43:00.000,072xx s sangamon st,0820,theft,$500 and under,residence,False,False,733,7,68,06,1171228.0,1856805.0,2023,2023-04-26t16:53:52.000,41.762539224,-87.647984635,4
13047825,jg230203,2023-04-19t22:40:00.000,025xx n narragansett ave,0850,theft,attempt theft,grocery food store,False,False,2512,25,19,06,1133317.0,1916205.0,2023,2023-04-26t16:53:52.000,41.926287021,-87.785547998,4
13047957,jg230192,2023-04-19t22:39:00.000,069xx s clyde ave,0326,robbery,aggravated vehicular hijacking,street,False,False,331,3,43,03,1191408.0,1859417.0,2023,2023-04-26t16:53:52.000,41.769241752,-87.57393835,4
13048752,jg230353,2023-04-19t22:35:00.000,112xx s edbrooke ave,1153,deceptive practice,financial identity theft over $ 300,,False,False,531,5,49,11,1179199.0,1830533.0,2023,2023-04-26t16:53:52.000,41.69026756,-87.619568317,4
13047794,jg230216,2023-04-19t22:31:00.000,017xx n keystone ave,0560,assault,simple,apartment,False,False,2534,25,20,08a,1149111.0,1911318.0,2023,2023-04-26t16:53:52.000,41.912585094,-87.727638664,5
13047891,jg230191,2023-04-19t22:30:00.000,013xx s lawndale ave,0430,battery,aggravated - other dangerous weapon,sidewalk,False,False,1011,10,29,04b,1151918.0,1893645.0,2023,2023-04-26t16:53:52.000,41.864033702,-87.717792133,5
